Journal Name,Publisher/Category,Link
Applied Soft Computing,Elsevier,https://www.sciencedirect.com/journal/applied-soft-computing/articles-in-press
Computers & Industrial Engineering,Elsevier,https://www.sciencedirect.com/journal/computers-and-industrial-engineering/articles-in-press
Computers & Operations Research,Elsevier,https://www.sciencedirect.com/journal/computers-and-operations-research/articles-in-press
Decision Support Systems,Elsevier,https://www.sciencedirect.com/journal/decision-support-systems/articles-in-press
European J of Operational Research,Elsevier,https://www.sciencedirect.com/journal/european-journal-of-operational-research/articles-in-press
Expert Systems with Applications,Elsevier,https://www.sciencedirect.com/journal/expert-systems-with-applications/articles-in-press
Fuzzy Sets and Systems,Elsevier,https://www.sciencedirect.com/journal/fuzzy-sets-and-systems/articles-in-press
Information Fusion,Elsevier,https://www.sciencedirect.com/journal/information-fusion/articles-in-press
Information Sciences,Elsevier,https://www.sciencedirect.com/journal/information-sciences/articles-in-press
Int J of Approximate Reasoning,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-approximate-reasoning/articles-in-press
Int J of Production Economics,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-production-economics/articles-in-press
Knowledge-Based Systems,Elsevier,https://www.sciencedirect.com/journal/knowledge-based-systems/articles-in-press
Omega,Elsevier,https://www.sciencedirect.com/journal/omega/articles-in-press
Engineering Applications of Artificial Intelligence,Elsevier,https://www.sciencedirect.com/journal/engineering-applications-of-artificial-intelligence/articles-in-press
Journal of Management Science and Engineering,Elsevier,https://www.sciencedirect.com/journal/journal-of-management-science-and-engineering/articles-in-press
Electronic Commerce Research and Applications,Elsevier,https://www.sciencedirect.com/journal/electronic-commerce-research-and-applications/articles-in-press
International Journal of Forecasting,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-forecasting/articles-in-press
Journal of Forecasting,Elsevier,https://onlinelibrary.wiley.com/toc/1099131x/0/0
Information & Management,Elsevier,https://www.sciencedirect.com/journal/information-and-management/articles-in-press
Information Systems,Elsevier,https://www.sciencedirect.com/journal/information-systems/articles-in-press
Artificial Intelligence,Elsevier,https://www.sciencedirect.com/journal/artificial-intelligence/articles-in-press
Pattern Recognition,Elsevier,https://www.sciencedirect.com/journal/pattern-recognition/articles-in-press
Pattern Recognition Letters,Elsevier,https://www.sciencedirect.com/journal/pattern-recognition-letters/articles-in-press
Neurocomputin,Elsevier,https://www.sciencedirect.com/journal/neurocomputing/articles-in-press
Physica A,Elsevier,https://www.sciencedirect.com/journal/physica-a-statistical-mechanics-and-its-applications/articles-in-press
Journal of Cleaner Production,Elsevier,https://www.sciencedirect.com/journal/journal-of-cleaner-production/articles-in-press
Energy,Elsevier,https://www.sciencedirect.com/journal/energy/articles-in-press
Reliability Engineering & System Safety,Elsevier,https://www.sciencedirect.com/journal/reliability-engineering-and-system-safety/articles-in-press
Journal of Biomedical Informatics,Elsevier,https://www.sciencedirect.com/journal/journal-of-biomedical-informatics/articles-in-press
AI Open,Elsevier,https://www.sciencedirect.com/journal/ai-open/articles-in-press
Neural Networks,Elsevier,https://www.sciencedirect.com/journal/neural-networks/articles-in-press
Advanced Engineering Informatics,Elsevier,https://www.sciencedirect.com/journal/advanced-engineering-informatics
Computers in Industry,Elsevier,https://www.sciencedirect.com/journal/computers-in-industry/articles-in-press
"Chaos, Solitons & Fractals",Elsevier,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/articles-in-press
Safety Science,Elsevier,https://www.sciencedirect.com/journal/safety-science/articles-in-press
Technological Forecasting and Social Change,Elsevier,https://www.sciencedirect.com/journal/technological-forecasting-and-social-change/articles-in-press
Automation in Construction,Elsevier,https://www.sciencedirect.com/journal/automation-in-construction
Annual Reviews in Control,Elsevier,https://www.sciencedirect.com/journal/annual-reviews-in-control/articles-in-press
Journal of Environmental Economics and Management,Elsevier,https://www.sciencedirect.com/journal/journal-of-environmental-economics-and-management/articles-in-press
Journal of Retailing and Consumer Services,Elsevier,https://www.sciencedirect.com/journal/journal-of-retailing-and-consumer-services/articles-in-press
"Transportation Research, Series B: Methodological",Elsevier,https://www.sciencedirect.com/journal/transportation-research-part-b-methodological/articles-in-press
"Transportation Research, Part D: Transport and Environment",Elsevier,https://www.sciencedirect.com/journal/transportation-research-part-d-transport-and-environment
"Transportation Research, Part E: Logistics and Transportation Review",Elsevier,https://www.sciencedirect.com/journal/transportation-research-part-e-logistics-and-transportation-review
EURO Journal on Decision Processes,Elsevier,https://www.sciencedirect.com/journal/euro-journal-on-decision-processes/articles-in-press
Tourism Management,Tourism Related,https://www.sciencedirect.com/journal/tourism-management/latest
Annals of Tourism Research,Tourism Related,https://www.sciencedirect.com/journal/annals-of-tourism-research/articles-in-press
Journal of Travel Research,Tourism Related,https://journals.sagepub.com/toc/JTR/0/0
Journal of Service Research,Tourism Related,https://journals.sagepub.com/toc/JSR/0/0
International Journal of Hospitality Management,Tourism Related,https://www.sciencedirect.com/journal/international-journal-of-hospitality-management/articles-in-press
International Journal of Contemporary Hospitality Management,Tourism Related,https://www.emerald.com/insight/publication/issn/0959-6119#earlycite
Journal of Sustainable Tourism,Tourism Related,https://www.tandfonline.com/action/showAxaArticles?journalCode=rsus20
Tourism Management Perspectives,Tourism Related,https://www.sciencedirect.com/journal/tourism-management-perspectives/latest
Current Issues in Tourism,Tourism Related,https://www.tandfonline.com/action/showAxaArticles?journalCode=rcit20
International Journal of Tourism Research,Tourism Related,https://onlinelibrary.wiley.com/toc/15221970/0/0
Tourism Planning and Development,Tourism Related,https://www.tandfonline.com/action/showAxaArticles?journalCode=rthp21
Journal of Hospitality & Tourism Research,Tourism Related,https://journals.sagepub.com/toc/JHT/0/0
Tourism Economics,Tourism Related,https://journals.sagepub.com/toc/TEU/0/0
Journal of Hospitality and Tourism Management,Tourism Related,https://www.sciencedirect.com/journal/journal-of-hospitality-and-tourism-management/articles-in-press
Tourism and Hospitality Research,Tourism Related,https://journals.sagepub.com/toc/THR/0/0
Annals of Operations Research,Springer,http://link.springer.com/journal/10479/articles
Fuzzy Optim and Decision Making,Springer,http://link.springer.com/journal/10700/articles
Group Decision and Negotiation,Springer,http://link.springer.com/journal/10726/articles
Soft Computing,Springer,http://link.springer.com/journal/500/articles
Int. J of Machine Learning and Cybernetics,Springer,http://link.springer.com/journal/13042/articles
Knowledge and Information Systems,Springer,http://link.springer.com/journal/10115/articles
Neural Computing and Applications,Springer,http://link.springer.com/journal/521/articles
Applied Intelligence,Springer,http://link.springer.com/journal/10489/articles
Cognitive Computation,Springer,http://link.springer.com/journal/12559/articles
Complex & Intelligent Systems,Springer,http://link.springer.com/journal/40747/articles
International Journal of Fuzzy Systems,Springer,http://link.springer.com/journal/40815/articles
OR Spectrum,Springer,http://link.springer.com/journal/291/articles
Artificial Intelligence Review,Springer,https://link.springer.com/journal/10462/articles
J Ambient Intelligence & Humanized Computing,Springer,https://link.springer.com/journal/12652/articles
Frontiers of Engineering Management,Springer,https://link.springer.com/journal/42524/articles
"Journal of Data, Information and Management",Springer,https://link.springer.com/journal/42488/articles
J of Syst Science & Syst Engineering,Springer,http://link.springer.com/journal/11518/articles
Journal of Systems Science and Complexity,Springer,http://link.springer.com/journal/11424/articles
Data Mining & Knowledge Discovery,Springer,http://link.springer.com/journal/10618/articles
Social Network Analysis and Mining,Springer,https://link.springer.com/journal/13278/articles
Health Care Management Science,Springer,http://link.springer.com/journal/10729/articles
Electronic Commerce Research,Springer,http://link.springer.com/journal/10660/articles
Operational Research,Springer,http://link.springer.com/journal/12351/articles
Information Technology & Tourism,Springer,https://link.springer.com/journal/40558/articles
TOP,Springer,http://link.springer.com/journal/11750/articles
Theory and Decision,Springer,http://link.springer.com/journal/11238/articles
Annals of Data Science,Springer,http://link.springer.com/journal/40745/articles
Central European J of Operations Research,Springer,http://link.springer.com/journal/10100/articles
SCIENCE CHINA Information Sciences,Springer,https://www.sciengine.com/publisher/scp/journal/SCIS?slug=firstpublish
Progress in Artificial Intelligence,Springer,http://link.springer.com/journal/13748/articles
Granular Computing,Springer,http://link.springer.com/journal/41066/articles
Journal of Intelligent Manufacturing,Springer,https://link.springer.com/journal/10845/articles
Nature Computational Science,Springer,https://www.nature.com/natcomputsci/research-articles
Nature Machine Intelligence,Springer,https://www.nature.com/natmachintell/research-articles
npj Artificial Intelligence,Springer,https://www.nature.com/npjai/research-articles
Nature Communications,Springer,https://www.nature.com/ncomms/research-articles
IEEE TSMC: Systems,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=6376248&sortType=newest
IEEE TSMC: Cybernetics,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=6352949&sortType=newest
IEEE Transactions on Computational Social Systems,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=6780646&sortType=newest
IEEE Transactions on,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4358784&sortType=newest
Fuzzy Systems,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4358784&sortType=newest
IEEE Transactions on Reliability,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4378406&sortType=newest
IEEE Transactions on Engineering Management,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4429834&sortType=newest
IEEE Transactions on Artificial Intelligence,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=9184921
IEEE T on Knowledge & Data Engineering,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4358933&sortType=newest
IEEE Transactions on Evolutionary Computation,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4358751&sortType=newest
IEEE Neural Network and Learning Systems,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=6104215&sortType=newest
IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4359286
IEEE Transactions on Big Data,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=7153538&sortType=newest
IEEE Network Science and Engineering,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=6930788&sortType=newest
IEEE/CAA J Automatica Sinica,IEEE/INFORMS/ACM,https://www.ieee-jas.net/en/article/latest_all
IEEE Transactions on Cognitive and Developmental Systems,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=7422051
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=7777658
IEEE Systems Journal,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4357939
IEEE Intelligent Systems,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=5196652
Journal of Systems Engineering and Electronics,IEEE/INFORMS/ACM,http://www.jseepub.com/EN/1004-4132/home.shtml
IEEE Automation Science and Engineering,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4358066&sortType=newest
IEEE Transactions on Automatic Control,IEEE/INFORMS/ACM,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=4601496&sortType=newest
Management Science,IEEE/INFORMS/ACM,https://pubsonline.informs.org/journal/mnsc
Operations Research,IEEE/INFORMS/ACM,https://pubsonline.informs.org/journal/opre
INFORMS Journal on Computing,IEEE/INFORMS/ACM,https://pubsonline.informs.org/journal/ijoc
Information Systems Research,IEEE/INFORMS/ACM,https://pubsonline.informs.org/journal/isre
Manufacturing & Service Operations Management,IEEE/INFORMS/ACM,https://pubsonline.informs.org/journal/msom
Decision Analysis,IEEE/INFORMS/ACM,https://pubsonline.informs.org/journal/deca
Production and Operations Management,IEEE/INFORMS/ACM,https://journals.sagepub.com/home/PAO
Past,IEEE/INFORMS/ACM,https://onlinelibrary.wiley.com/toc/19375956/0/0
INFORMS Journal on Data Science,IEEE/INFORMS/ACM,https://pubsonline.informs.org/journal/ijds
ACM Computing Surveys,IEEE/INFORMS/ACM,https://dl.acm.org/toc/csur/justaccepted
ACM Transactions on Intelligent Systems and Technology,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tist/justaccepted
ACM Transactions on Knowledge Discovery from Data,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tkdd/justaccepted
ACM Transactions on Management Information Systems,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tmis/justaccepted
ACM Transactions on Information Systems,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tois/justaccepted
ACM Transactions on Internet Technology,IEEE/INFORMS/ACM,https://dl.acm.org/toc/toit/justaccepted
ACM Transactions on Modeling and Computer Simulation,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tomacs/justaccepted
ACM Transactions on Social Computing,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tsc/justaccepted
ACM Transactions on the Web,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tweb/justaccepted
ACM Transactions on Recommender Systems,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tors/justaccepted
ACM/IMS Transactions on Data Science,IEEE/INFORMS/ACM,https://dl.acm.org/toc/tds/current
Int Journal of  Intelligent Systems,Wiley/Taylor/WorldScientific,https://www.hindawi.com/journals/ijis/contents/
Expert Systems,Wiley/Taylor/WorldScientific,https://onlinelibrary.wiley.com/journal/14680394
International Transactions in Operational Research,Wiley/Taylor/WorldScientific,https://onlinelibrary.wiley.com/journal/14753995
J of  Multi-Criteria Decision Analysis,Wiley/Taylor/WorldScientific,https://onlinelibrary.wiley.com/journal/10991360
Decision  SciencesJournal,Wiley/Taylor/WorldScientific,https://onlinelibrary.wiley.com/journal/15405915
Risk Analysis,Wiley/Taylor/WorldScientific,https://onlinelibrary.wiley.com/journal/15396924
International Journal of Finance & Economics,Wiley/Taylor/WorldScientific,https://onlinelibrary.wiley.com/toc/10991158/0/0
Quality and Reliability Engineering International,Wiley/Taylor/WorldScientific,https://onlinelibrary.wiley.com/toc/10991638/0/0
IISE Transactions,Wiley/Taylor/WorldScientific,https://www.tandfonline.com/toc/uiie21/0/ja
J of the Operational Research Society,Wiley/Taylor/WorldScientific,http://www.tandfonline.com/action/showAxaArticles?journalCode=tjor20
Int J of Production Research,Wiley/Taylor/WorldScientific,http://www.tandfonline.com/action/showAxaArticles?journalCode=tprs20
International J of  Systems Science,Wiley/Taylor/WorldScientific,http://www.tandfonline.com/action/showAxaArticles?journalCode=tsys20
Int J of General Systems,Wiley/Taylor/WorldScientific,http://www.tandfonline.com/action/showAxaArticles?journalCode=ggen20
Int J of Inf Technology & Deci Making,Wiley/Taylor/WorldScientific,http://www.worldscientific.com/worldscinet/ijitdm
"Int J  of Uncertainty, Fuzz and KBS",Wiley/Taylor/WorldScientific,http://www.worldscientific.com/worldscinet/ijufks
Asia-Pacific Journal of Operational Research,Wiley/Taylor/WorldScientific,http://www.worldscientific.com/toc/apjor/0/0
Economic Research,Wiley/Taylor/WorldScientific,https://www.tandfonline.com/action/showAxaArticles?journalCode=rero20
Journal of Management Analytics,Wiley/Taylor/WorldScientific,https://www.tandfonline.com/action/showAxaArticles?journalCode=tjma20
Journal  of Intelligent and Fuzzy Systems,Others,http://content.iospress.com/journals/journal-of-intelligent-and-fuzzy-systems/Preprint/Preprint?start=0&rows=100
Int J of Compu Intelligence Systems,Others,https://www.springer.com/journal/44196
Technological and Economic Development of Economy,Others,https://journals.vgtu.lt/index.php/TEDE
INFORMATICA,Others,https://informatica.vu.lt/journal/INFORMATICA/to-appear
Int J of Computers Communications & Control,Others,http://univagora.ro/jour/index.php/ijccc/
International J Strategic Property Management,Others,https://journals.vgtu.lt/index.php/IJSPM
Transport,Others,https://journals.vgtu.lt/index.php/Transport
Transformations in Business & Economics,Others,http://www.transformations.knf.vu.lt/
Scientia Iranica,Others,http://scientiairanica.sharif.edu/?_action=current&_is=Current%20Issue
Iranian Journal of Fuzzy Systems,Others,http://ijfs.usb.ac.ir/?_action=press&issue=-1&_is=Articles%20in%20Press
Kybernetes,Others,https://www.emerald.com/insight/publication/issn/0368-492X
Intelligent Decision Technologies,Others,http://content.iospress.com/journals/intelligent-decision-technologies
Fundamenta Informaticae,Others,http://content.iospress.com/journals/fundamenta-informaticae
Intelligent Data Analysis,Others,http://content.iospress.com/journals/intelligent-data-analysis
Journal of Smart Environments and Green Computing,Others,https://segcjournal.com/journal/archives
Journal of Civil Engineering and Management,Others,https://journals.vgtu.lt/index.php/JCEM/issue/current
